カラム名,説明
企業ID,企業固有のNo
企業名,架空の企業名
従業員数,連結従業員数
業界,製造、商社、金融、機械、アパレル、エネルギー、IT・・・等
上場種別,マーケット名
取引形態,"BtoB,BtoCなど"
企業概要,企業の事業内容等
組織図,階層型組織図（フォーマットは統一されていない）
事業所数,企業が保有する事務所の数
工場数,企業が保有する工場の数
店舗数,企業が保有する店舗の数
資本金,貸借対照表科目（直近の年度末決算値）【単位：百万円】
総資産,貸借対照表科目（直近の年度末決算値）【単位：百万円】
流動資産,貸借対照表科目（直近の年度末決算値）【単位：百万円】
固定資産,貸借対照表科目（直近の年度末決算値）【単位：百万円】
負債,貸借対照表科目（直近の年度末決算値）【単位：百万円】
短期借入金,貸借対照表科目（直近の年度末決算値）【単位：百万円】
長期借入金,貸借対照表科目（直近の年度末決算値）【単位：百万円】
純資産,貸借対照表科目（直近の年度末決算値）【単位：百万円】
自己資本,貸借対照表科目（直近の年度末決算値）【単位：百万円】
売上,損益計算書科目（直近の年度末決算値）【単位：百万円】
営業利益,損益計算書科目（直近の年度末決算値）【単位：百万円】
経常利益,損益計算書科目（直近の年度末決算値）【単位：百万円】
当期純利益,損益計算書科目（直近の年度末決算値）【単位：百万円】
営業CF,キャッシュフロー計算書科目（直近の年度末決算値）【単位：百万円】
減価償却費,キャッシュフロー計算書科目（直近の年度末決算値）【単位：百万円】
運転資本変動,キャッシュフロー計算書科目（直近の年度末決算値）【単位：百万円】
投資CF,キャッシュフロー計算書科目（直近の年度末決算値）【単位：百万円】
有形固定資産変動,キャッシュフロー計算書科目（直近の年度末決算値）【単位：百万円】
無形固定資産変動(ソフトウェア関連),キャッシュフロー計算書科目（直近の年度末決算値）【単位：百万円】
アンケート１,"【質問内容】DX推進の戦略的な方向性はどの程度明確ですか？(1: 非常に低い, 2:低い, 3: 普通, 4:高い, 5: 非常に高い)"
アンケート２,"【質問内容】社内のDX化に対する満足度はどの程度ですが？(1: 非常に低い, 2:低い, 3: 普通, 4:高い, 5: 非常に高い)"
アンケート３,"【質問内容】最新デジタル技術（クラウド、AI、IoT等）の導入状況はどの程度進んでいますか？(1: 非常に低い, 2:低い, 3: 普通, 4:高い, 5: 非常に高い)"
アンケート４,"【質問内容】社内のDX変革に対する抵抗感はどの程度ありますか？(1: 非常に低い, 2:低い, 3: 普通, 4:高い, 5: 非常に高い)"
アンケート５,"【質問内容】サイバーセキュリティ対策の整備状況はどの程度十分ですか？(1: 非常に低い, 2:低い, 3: 普通, 4:高い, 5: 非常に高い)"
アンケート６,"【質問内容】すでに業務プロセスの改善や自動化を目的としたツールやサービスを導入していますか？(1:はい, 2:いいえ)"
アンケート７,"【質問内容】アンケート6が「はい」の場合、既存の業務プロセス改善ツールやサービスに対する満足度はどの程度ですか？(1: 非常に低い, 2:低い, 3: 普通, 4:高い, 5: 非常に高い)"
アンケート８,"【質問内容】DXプロジェクトの成果や効果はどの程度実感されていますか？(1: 非常に低い, 2:低い, 3: 普通, 4:高い, 5: 非常に高い)"
アンケート９,"【質問内容】新技術イベントやセミナーへの参加率はどの程度高いですか？(1: 非常に低い, 2:低い, 3: 普通, 4:高い, 5: 非常に高い)"
アンケート１０,"【質問内容】外部パートナー（ベンダー、コンサルタント等）とのDX連携実績はどの程度充実していますか？(1: 非常に低い, 2:低い, 3: 普通, 4:高い, 5: 非常に高い)"
アンケート１１,"【質問内容】DXに関する最新技術やツールの導入状況について、どの程度の情報収集を行っていますか？(1: 非常に低い, 2:低い, 3: 普通, 4:高い, 5: 非常に高い)"
今後のDX展望,【質問内容】御社の今後のDX投資に関する方向性や計画について、ぜひお話をお聞かせいただけますか？
購入フラグ,"0＝未購入, 1＝購入"
